name,price_cr,bhk,area,possession,legal_status,connectivity
Prestige Lake 341,2.2,2,Kadubeesanahalli,Sep 2026,Clear,Highway Access
Sobha Courtyard 342,1.8,3,Bellandur,Ready,Clear,Metro 2km
Godrej City 343,4.4,3,Indiranagar,Ready,Clear,Metro 2km
Concorde Heights 344,5.7,4,Kadubeesanahalli,Ready,Clear,Highway Access
Adarsh Enclave 345,6.2,4,Whitefield,Jun 2027,Clear,Metro 2km
Godrej Enclave 346,1.6,2,Indiranagar,Mar 2027,Clear,Bus Stop 500m
Brigade Towers 347,1.8,2,Yelahanka,Sep 2026,Pending,Metro 3km
Brigade Greens 348,3.7,3,Indiranagar,Mar 2027,Clear,Metro 2km
Brigade Greens 349,3.7,4,Indiranagar,Jun 2027,Clear,Metro 3km
Puravankara Woods 350,3.3,2,HSR Layout,Ready,Clear,Bus Stop 500m
Prestige City 351,6.5,4,Indiranagar,Jun 2027,Clear,Highway Access
Adarsh Lake 352,6.5,5,Kadubeesanahalli,Dec 2026,Clear,Metro 1km
Salarpuria Enclave 353,2.1,3,Yelahanka,Ready,Clear,Metro 3km
Puravankara City 354,4.0,2,Indiranagar,Sep 2026,Clear,Bus Stop 500m
Adarsh Woods 355,6.1,4,Indiranagar,Dec 2026,Clear,Highway Access
Adarsh Lake 356,1.6,2,Yelahanka,Jun 2027,Clear,Metro 1km
Puravankara Park 357,6.1,4,Marathahalli,Ready,Clear,ORR Access
Prestige Park 358,2.6,5,Sarjapur Road,Jun 2027,Clear,Metro 2km
Adarsh Heights 359,2.8,2,Sarjapur Road,Jun 2027,Clear,Highway Access
Adarsh Enclave 360,6.0,4,Bellandur,Sep 2026,Clear,Bus Stop 500m
Adarsh Villas 361,2.3,4,Electronic City,Sep 2026,Clear,Bus Stop 500m
Concorde Woods 362,5.2,5,HSR Layout,Dec 2026,Clear,Metro 1km
Godrej Heights 363,2.5,4,Yelahanka,Dec 2026,Disputed,Metro 1km
Sobha Towers 364,1.8,3,HSR Layout,Ready,Clear,Metro 2km
Shobha Villas 365,1.9,2,Marathahalli,Ready,Clear,Highway Access
Godrej City 366,2.0,4,Yelahanka,Ready,Clear,Metro 2km
Prestige Heights 367,6.2,4,Indiranagar,Mar 2027,Clear,ORR Access
Sobha Lake 368,4.1,3,Koramangala,Jun 2027,Clear,Metro 1km
Salarpuria Villas 369,2.9,3,Bellandur,Ready,Clear,Highway Access
Brigade Greens 370,4.1,2,Indiranagar,Sep 2026,Clear,Metro 3km
Puravankara Heights 371,3.1,2,Whitefield,Mar 2027,Clear,ORR Access
Shobha Woods 372,2.5,2,Electronic City,Jun 2027,Clear,Metro 2km
Sobha Enclave 373,4.6,2,Bellandur,Jun 2027,Clear,Metro 2km
Concorde Woods 374,5.4,5,Indiranagar,Jun 2027,Clear,Metro 3km
Concorde Greens 375,2.2,2,HSR Layout,Mar 2027,Clear,Metro 3km
Sobha Park 376,3.5,5,Indiranagar,Jun 2027,Clear,Metro 2km
Godrej Greens 377,1.2,2,Electronic City,Mar 2027,Clear,Metro 2km
Adarsh Villas 378,3.7,5,Indiranagar,Sep 2026,Clear,Highway Access
Puravankara Enclave 379,3.3,3,Bellandur,Jun 2027,Clear,Bus Stop 500m
Puravankara Villas 380,5.8,5,Marathahalli,Ready,Clear,Bus Stop 500m
Concorde City 381,4.0,5,Whitefield,Dec 2026,Clear,Bus Stop 500m
Brigade Lake 382,3.7,5,Sarjapur Road,Jun 2027,Clear,Metro 2km
Salarpuria Villas 383,2.3,3,Electronic City,Sep 2026,Clear,Bus Stop 500m
Godrej Woods 384,2.7,3,Kadubeesanahalli,Mar 2027,Clear,Bus Stop 500m
Shobha Heights 385,2.7,3,Whitefield,Jun 2027,Clear,Metro 2km
Godrej Courtyard 386,1.3,2,Sarjapur Road,Jun 2027,Clear,Highway Access
Puravankara Woods 387,1.5,3,Marathahalli,Mar 2027,Clear,ORR Access
Salarpuria Villas 388,3.6,2,Bellandur,Ready,Clear,Bus Stop 500m
Puravankara Heights 389,5.5,5,Koramangala,Jun 2027,Clear,Highway Access
Salarpuria Greens 390,2.1,3,Kadubeesanahalli,Dec 2026,Clear,Metro 2km
Prestige Villas 391,2.4,2,Marathahalli,Dec 2026,Disputed,Highway Access
Adarsh Heights 392,3.8,4,Sarjapur Road,Mar 2027,Clear,Highway Access
Prestige Park 393,2.4,3,Whitefield,Jun 2027,Clear,Metro 2km
Shobha City 394,4.9,3,HSR Layout,Dec 2026,Clear,Metro 2km
Shobha Courtyard 395,5.9,4,Kadubeesanahalli,Sep 2026,Clear,Highway Access
DNR Lake 396,1.5,3,Yelahanka,Dec 2026,Clear,ORR Access
Godrej Towers 397,5.1,4,Koramangala,Mar 2027,Clear,ORR Access
Shobha Park 398,4.7,2,Bellandur,Mar 2027,Clear,Metro 1km
Concorde Towers 399,2.5,3,HSR Layout,Ready,Clear,ORR Access
Brigade Greens 400,3.9,5,Koramangala,Ready,Clear,Highway Access
Adarsh Heights 401,3.5,4,Indiranagar,Ready,Clear,Metro 2km
Adarsh Villas 402,1.1,2,Yelahanka,Dec 2026,Clear,ORR Access
Sobha City 403,6.2,5,HSR Layout,Jun 2027,Clear,Bus Stop 500m
DNR City 404,1.4,2,Electronic City,Ready,Clear,Metro 2km
Sobha Woods 405,5.0,4,Whitefield,Mar 2027,Clear,Metro 2km
Concorde Heights 406,4.7,4,Electronic City,Dec 2026,Clear,Bus Stop 500m
Prestige Villas 407,1.0,2,Electronic City,Mar 2027,Clear,Metro 3km
DNR Towers 408,3.9,4,Sarjapur Road,Jun 2027,Clear,Metro 1km
Brigade Villas 409,1.4,3,Electronic City,Jun 2027,Clear,Highway Access
DNR City 410,4.3,5,Sarjapur Road,Ready,Clear,Bus Stop 500m
Adarsh Villas 411,4.3,5,Koramangala,Jun 2027,Clear,ORR Access
Sobha Park 412,3.9,4,Bellandur,Dec 2026,Clear,Bus Stop 500m
Godrej Villas 413,4.1,2,Koramangala,Jun 2027,Clear,Metro 1km
Prestige Courtyard 414,3.2,2,Indiranagar,Jun 2027,Clear,Metro 2km
Concorde Park 415,3.1,4,Kadubeesanahalli,Sep 2026,Clear,Metro 2km
Sobha Towers 416,2.4,3,Yelahanka,Ready,Clear,Metro 3km
Godrej Courtyard 417,2.3,2,Koramangala,Mar 2027,Clear,ORR Access
Adarsh Heights 418,2.1,3,Bellandur,Sep 2026,Clear,ORR Access
Prestige Villas 419,2.9,2,Yelahanka,Jun 2027,Clear,ORR Access
Salarpuria Park 420,3.8,2,Indiranagar,Mar 2027,Clear,Highway Access
Puravankara City 421,5.3,4,Marathahalli,Jun 2027,Clear,Metro 2km
Godrej Courtyard 422,4.8,4,Whitefield,Sep 2026,Clear,Bus Stop 500m
Godrej Enclave 423,3.2,4,Electronic City,Dec 2026,Clear,Highway Access
Godrej Greens 424,5.0,5,Sarjapur Road,Mar 2027,Disputed,Metro 3km
Puravankara Courtyard 425,2.6,3,Bellandur,Mar 2027,Clear,Highway Access
Prestige Villas 426,3.7,5,Electronic City,Dec 2026,Clear,Bus Stop 500m
Adarsh Lake 427,1.9,3,Koramangala,Ready,Clear,Bus Stop 500m
Sobha City 428,3.7,3,Bellandur,Jun 2027,Clear,Metro 3km
Shobha Greens 429,6.0,5,HSR Layout,Ready,Clear,ORR Access
Concorde Lake 430,4.4,5,HSR Layout,Ready,Clear,Metro 1km
Sobha Enclave 431,3.2,3,Yelahanka,Dec 2026,Clear,Metro 1km
Brigade Enclave 432,3.3,2,Bellandur,Mar 2027,Clear,Bus Stop 500m
Puravankara Towers 433,2.2,5,Yelahanka,Ready,Clear,ORR Access
Shobha Woods 434,2.7,2,Electronic City,Mar 2027,Clear,Metro 3km
Sobha Greens 435,5.9,4,Indiranagar,Sep 2026,Clear,ORR Access
Salarpuria Towers 436,3.5,3,Indiranagar,Jun 2027,Clear,Highway Access
Adarsh Heights 437,2.5,4,Yelahanka,Ready,Clear,Metro 3km
Salarpuria Enclave 438,3.3,4,Electronic City,Ready,Clear,Bus Stop 500m
Sobha Courtyard 439,6.9,5,Kadubeesanahalli,Dec 2026,Clear,Metro 3km
Salarpuria City 440,4.8,2,Indiranagar,Dec 2026,Clear,Bus Stop 500m
Salarpuria Woods 441,4.8,4,Indiranagar,Dec 2026,Clear,Highway Access
Brigade Lake 442,4.8,3,Koramangala,Sep 2026,Pending,Metro 1km
DNR Towers 443,7.0,4,Kadubeesanahalli,Sep 2026,Clear,ORR Access
DNR Lake 444,6.2,5,Indiranagar,Sep 2026,Clear,Metro 1km
Concorde Heights 445,4.3,2,Whitefield,Sep 2026,Clear,ORR Access
DNR Lake 446,5.2,5,Kadubeesanahalli,Ready,Clear,Highway Access
Puravankara Towers 447,3.1,4,Kadubeesanahalli,Mar 2027,Clear,Metro 3km
Adarsh Lake 448,6.8,5,Kadubeesanahalli,Ready,Clear,ORR Access
Brigade City 449,4.7,4,Indiranagar,Sep 2026,Clear,Metro 3km
DNR Villas 450,3.5,4,Whitefield,Ready,Clear,ORR Access
Brigade Greens 451,4.0,2,Whitefield,Mar 2027,Clear,Metro 1km
Prestige Woods 452,4.8,3,HSR Layout,Mar 2027,Clear,Highway Access
Sobha Woods 453,4.0,2,Marathahalli,Jun 2027,Clear,Metro 3km
DNR Enclave 454,2.2,2,Koramangala,Jun 2027,Clear,Bus Stop 500m
Brigade City 455,1.8,2,Electronic City,Mar 2027,Clear,Bus Stop 500m
Concorde Courtyard 456,4.9,5,Electronic City,Sep 2026,Clear,Metro 1km
Shobha Towers 457,3.7,4,Yelahanka,Sep 2026,Clear,Highway Access
Brigade Park 458,6.4,5,HSR Layout,Jun 2027,Clear,Metro 3km
Shobha Enclave 459,3.5,5,Marathahalli,Mar 2027,Clear,Bus Stop 500m
DNR Greens 460,3.0,3,Bellandur,Mar 2027,Clear,Bus Stop 500m
Godrej Villas 461,6.8,5,Kadubeesanahalli,Mar 2027,Clear,Highway Access
DNR Villas 462,4.8,2,Marathahalli,Jun 2027,Clear,Highway Access
Godrej Park 463,4.3,4,Indiranagar,Dec 2026,Clear,Metro 3km
Shobha City 464,4.1,5,Koramangala,Jun 2027,Clear,Metro 2km
Sobha Park 465,3.7,4,Koramangala,Ready,Clear,Metro 3km
Shobha Villas 466,3.6,2,Koramangala,Mar 2027,Clear,Metro 1km
Salarpuria Villas 467,4.3,2,Kadubeesanahalli,Sep 2026,Clear,Metro 1km
Godrej Towers 468,4.9,5,Bellandur,Ready,Clear,Metro 1km
DNR Heights 469,4.1,5,Yelahanka,Dec 2026,Pending,Metro 2km
Concorde Woods 470,3.9,4,Sarjapur Road,Jun 2027,Clear,Metro 1km
Shobha Towers 471,6.9,4,Indiranagar,Ready,Clear,Metro 2km
Adarsh Enclave 472,2.6,3,HSR Layout,Mar 2027,Clear,ORR Access
Shobha Greens 473,2.6,2,HSR Layout,Jun 2027,Clear,ORR Access
Adarsh Woods 474,5.3,5,HSR Layout,Dec 2026,Clear,Bus Stop 500m
Godrej Greens 475,4.8,5,Kadubeesanahalli,Mar 2027,Clear,Bus Stop 500m
Salarpuria Heights 476,4.5,2,HSR Layout,Sep 2026,Clear,Highway Access
Brigade Towers 477,3.3,3,Bellandur,Mar 2027,Clear,Highway Access
Puravankara Park 478,3.0,2,Yelahanka,Dec 2026,Clear,Metro 1km
DNR Heights 479,4.8,4,HSR Layout,Sep 2026,Clear,ORR Access
Adarsh Woods 480,4.3,5,Whitefield,Ready,Clear,Metro 3km
Puravankara Greens 481,5.1,5,HSR Layout,Sep 2026,Clear,Highway Access
Salarpuria Heights 482,2.3,2,Electronic City,Mar 2027,Clear,Bus Stop 500m
Concorde Lake 483,5.1,4,HSR Layout,Dec 2026,Clear,Metro 3km
Adarsh Towers 484,3.2,2,Electronic City,Mar 2027,Clear,Metro 3km
Concorde Villas 485,1.6,3,Marathahalli,Mar 2027,Clear,Metro 2km
DNR Woods 486,4.9,3,Marathahalli,Dec 2026,Clear,Bus Stop 500m
Sobha Greens 487,5.0,5,Marathahalli,Jun 2027,Clear,Metro 2km
Sobha Towers 488,4.3,5,Koramangala,Mar 2027,Clear,Bus Stop 500m
Brigade Villas 489,3.1,2,Sarjapur Road,Jun 2027,Clear,Metro 2km
Puravankara Greens 490,3.6,5,Sarjapur Road,Ready,Clear,Highway Access
Brigade Villas 491,3.8,3,HSR Layout,Dec 2026,Clear,Metro 1km
Shobha Villas 492,1.2,3,Sarjapur Road,Dec 2026,Clear,Metro 2km
Sobha Villas 493,3.3,2,Kadubeesanahalli,Ready,Clear,Highway Access
Prestige Villas 494,4.5,3,Marathahalli,Dec 2026,Clear,Highway Access
Puravankara City 495,5.2,4,Koramangala,Ready,Clear,Metro 1km
Puravankara Heights 496,2.6,3,Sarjapur Road,Jun 2027,Clear,Metro 3km
Salarpuria Enclave 497,3.9,3,Whitefield,Ready,Clear,Highway Access
Sobha Heights 498,1.1,2,Electronic City,Mar 2027,Clear,Metro 2km
Sobha Greens 499,3.7,5,Kadubeesanahalli,Sep 2026,Clear,Metro 3km
Sobha Lake 500,1.8,2,Yelahanka,Mar 2027,Clear,Bus Stop 500m
Brigade Greens 501,4.0,5,Marathahalli,Ready,Clear,Bus Stop 500m
DNR Enclave 502,3.2,2,Indiranagar,Dec 2026,Clear,Metro 3km
Adarsh Towers 503,4.8,5,Bellandur,Dec 2026,Clear,Metro 1km
Sobha Park 504,5.2,5,HSR Layout,Jun 2027,Clear,Bus Stop 500m
Salarpuria Towers 505,4.0,4,Sarjapur Road,Mar 2027,Clear,Metro 3km
Salarpuria Towers 506,2.9,3,Marathahalli,Sep 2026,Clear,Metro 2km
Sobha Villas 507,2.0,5,Sarjapur Road,Jun 2027,Clear,Metro 3km
Puravankara Woods 508,3.5,2,Electronic City,Jun 2027,Clear,Metro 3km
Brigade Villas 509,2.4,2,Marathahalli,Mar 2027,Clear,Metro 2km
Prestige Courtyard 510,3.7,5,Electronic City,Jun 2027,Clear,Highway Access
Prestige Enclave 511,3.9,2,Kadubeesanahalli,Ready,Clear,Bus Stop 500m
Salarpuria City 512,2.6,2,Kadubeesanahalli,Sep 2026,Clear,Highway Access
Godrej City 513,5.0,3,Indiranagar,Mar 2027,Clear,ORR Access
Sobha Heights 514,2.7,2,Electronic City,Mar 2027,Clear,Highway Access
Salarpuria Courtyard 515,1.3,2,Electronic City,Jun 2027,Clear,Metro 3km
Sobha Towers 516,1.9,2,Sarjapur Road,Dec 2026,Clear,Bus Stop 500m
Shobha Villas 517,3.5,5,Sarjapur Road,Jun 2027,Clear,ORR Access
Brigade City 518,2.7,3,Kadubeesanahalli,Ready,Clear,ORR Access
Salarpuria Park 519,2.4,2,Yelahanka,Mar 2027,Clear,Metro 2km
Salarpuria Lake 520,4.5,5,Koramangala,Ready,Clear,Metro 3km
Shobha Greens 521,4.1,5,Kadubeesanahalli,Sep 2026,Clear,Bus Stop 500m
Shobha Villas 522,2.0,3,Kadubeesanahalli,Jun 2027,Clear,Metro 2km
Brigade Lake 523,3.2,4,Marathahalli,Mar 2027,Clear,Metro 3km
Salarpuria Greens 524,3.9,5,Indiranagar,Ready,Clear,Metro 3km
Brigade Towers 525,1.7,2,Koramangala,Jun 2027,Clear,Metro 1km
Puravankara Lake 526,6.8,5,Marathahalli,Dec 2026,Clear,Metro 3km
DNR Greens 527,1.9,2,Kadubeesanahalli,Ready,Clear,ORR Access
Brigade Greens 528,3.0,2,Indiranagar,Ready,Clear,Metro 1km
Shobha Heights 529,3.8,3,Indiranagar,Mar 2027,Clear,Metro 1km
Adarsh Heights 530,2.9,5,Electronic City,Ready,Clear,Metro 2km
Prestige Heights 531,2.6,3,Bellandur,Dec 2026,Clear,Metro 2km
Adarsh Villas 532,3.9,2,HSR Layout,Mar 2027,Clear,Metro 2km
Prestige Towers 533,4.3,4,Marathahalli,Ready,Clear,ORR Access
Shobha Towers 534,2.6,5,Electronic City,Sep 2026,Clear,Metro 3km
Puravankara Towers 535,4.6,4,Indiranagar,Jun 2027,Clear,Metro 1km
Concorde City 536,1.9,3,Yelahanka,Ready,Clear,Highway Access
Puravankara Heights 537,3.6,5,Marathahalli,Sep 2026,Clear,Metro 3km
Salarpuria Courtyard 538,3.2,3,Yelahanka,Sep 2026,Clear,Bus Stop 500m
Salarpuria Heights 539,4.4,4,Electronic City,Ready,Clear,Metro 2km
Salarpuria Lake 540,6.7,4,Marathahalli,Jun 2027,Clear,Metro 3km
Brigade Woods 541,2.2,2,Marathahalli,Mar 2027,Clear,Metro 2km
Prestige Park 542,2.4,3,Kadubeesanahalli,Jun 2027,Clear,Bus Stop 500m
Shobha Villas 543,5.4,4,Whitefield,Ready,Clear,Bus Stop 500m
DNR Greens 544,2.7,3,Bellandur,Sep 2026,Clear,Metro 3km
Prestige Courtyard 545,3.4,2,Sarjapur Road,Sep 2026,Clear,Metro 3km
Salarpuria Park 546,4.2,5,Koramangala,Sep 2026,Clear,Bus Stop 500m
Salarpuria Woods 547,4.1,2,HSR Layout,Jun 2027,Clear,ORR Access
Shobha Greens 548,5.2,4,Indiranagar,Ready,Clear,Highway Access
Concorde Greens 549,4.7,2,Indiranagar,Dec 2026,Clear,Bus Stop 500m
Sobha Villas 550,1.7,3,Koramangala,Jun 2027,Clear,Metro 3km
Puravankara Lake 551,3.4,3,Yelahanka,Mar 2027,Clear,ORR Access
Prestige Towers 552,4.2,3,Bellandur,Ready,Clear,Metro 1km
DNR Courtyard 553,3.4,4,Bellandur,Jun 2027,Clear,Highway Access
Sobha Courtyard 554,4.9,4,Sarjapur Road,Sep 2026,Clear,Metro 2km
Concorde Park 555,3.2,4,Bellandur,Jun 2027,Clear,Highway Access
DNR Heights 556,4.7,4,Electronic City,Sep 2026,Clear,Bus Stop 500m
Salarpuria Woods 557,5.0,2,HSR Layout,Mar 2027,Clear,Bus Stop 500m
Salarpuria Woods 558,5.6,5,Koramangala,Sep 2026,Clear,Metro 2km
Sobha City 559,4.7,4,Whitefield,Mar 2027,Clear,Bus Stop 500m
Adarsh Lake 560,3.9,3,Whitefield,Dec 2026,Pending,ORR Access
Concorde Villas 561,3.2,3,Marathahalli,Jun 2027,Clear,ORR Access
Puravankara Enclave 562,5.3,5,Kadubeesanahalli,Sep 2026,Clear,Bus Stop 500m
Sobha Lake 563,2.5,2,Koramangala,Sep 2026,Clear,Highway Access
Shobha Villas 564,4.9,2,Marathahalli,Dec 2026,Clear,Metro 2km
DNR Towers 565,4.5,5,Yelahanka,Jun 2027,Clear,Metro 3km
Godrej Courtyard 566,4.5,2,Whitefield,Mar 2027,Clear,Highway Access
Salarpuria Villas 567,2.1,5,Sarjapur Road,Dec 2026,Clear,Metro 1km
Godrej Courtyard 568,1.8,3,Whitefield,Dec 2026,Clear,Metro 1km
Concorde Courtyard 569,1.4,2,Sarjapur Road,Jun 2027,Clear,Bus Stop 500m
Puravankara City 570,3.4,3,Indiranagar,Dec 2026,Clear,Metro 3km
Adarsh Park 571,6.0,4,Bellandur,Jun 2027,Clear,Bus Stop 500m
Puravankara Heights 572,3.1,3,Electronic City,Jun 2027,Clear,Metro 2km
Adarsh Towers 573,4.8,3,Whitefield,Jun 2027,Clear,Bus Stop 500m
Godrej City 574,2.6,2,Indiranagar,Ready,Clear,Bus Stop 500m
DNR City 575,3.9,2,Koramangala,Sep 2026,Clear,ORR Access
Adarsh Lake 576,3.3,5,HSR Layout,Jun 2027,Clear,Metro 1km
Concorde Villas 577,4.6,2,HSR Layout,Jun 2027,Clear,Metro 2km
Godrej Greens 578,3.1,5,HSR Layout,Dec 2026,Clear,Metro 2km
Salarpuria Park 579,2.1,2,Electronic City,Ready,Clear,Metro 3km
Sobha Park 580,4.2,5,Electronic City,Dec 2026,Clear,Metro 1km
Sobha Enclave 581,6.3,5,Kadubeesanahalli,Jun 2027,Clear,Metro 1km
Shobha Greens 582,2.0,3,Bellandur,Mar 2027,Clear,ORR Access
Salarpuria Lake 583,3.5,5,Bellandur,Dec 2026,Clear,Metro 2km
Godrej Lake 584,1.4,2,Electronic City,Mar 2027,Clear,ORR Access
Adarsh Towers 585,3.7,3,Kadubeesanahalli,Jun 2027,Clear,Metro 1km
Sobha Greens 586,2.2,3,Sarjapur Road,Dec 2026,Clear,Metro 1km
Concorde Heights 587,4.7,4,Marathahalli,Sep 2026,Clear,Bus Stop 500m
Sobha Enclave 588,5.6,5,Marathahalli,Sep 2026,Clear,Metro 2km
Shobha Woods 589,1.6,3,Sarjapur Road,Dec 2026,Pending,Metro 1km
Concorde Villas 590,1.8,2,Sarjapur Road,Jun 2027,Clear,Highway Access
Concorde Towers 591,3.0,3,Yelahanka,Mar 2027,Clear,Metro 2km
Concorde Courtyard 592,4.6,3,Bellandur,Jun 2027,Clear,Metro 2km
Puravankara Towers 593,3.2,3,Bellandur,Dec 2026,Clear,Metro 3km
Adarsh Greens 594,6.4,4,Marathahalli,Dec 2026,Clear,Metro 1km
Prestige Towers 595,3.2,4,Bellandur,Jun 2027,Clear,Metro 3km
Puravankara Park 596,2.7,3,Koramangala,Sep 2026,Clear,Metro 1km
Prestige Park 597,4.7,3,Marathahalli,Ready,Pending,ORR Access
Salarpuria Enclave 598,1.9,3,Marathahalli,Jun 2027,Clear,Metro 1km
Sobha Towers 599,3.9,5,Yelahanka,Ready,Clear,Bus Stop 500m
Shobha Woods 600,5.0,5,Sarjapur Road,Ready,Clear,ORR Access
Puravankara Greens 601,3.6,5,Electronic City,Ready,Clear,ORR Access
Shobha Villas 602,3.3,5,Yelahanka,Jun 2027,Clear,Metro 2km
Prestige Woods 603,2.6,2,Sarjapur Road,Mar 2027,Clear,Metro 2km
Prestige Enclave 604,3.1,4,Indiranagar,Mar 2027,Clear,Bus Stop 500m
Godrej Villas 605,1.9,3,Indiranagar,Mar 2027,Clear,Metro 1km
Salarpuria Greens 606,4.5,2,Indiranagar,Ready,Clear,Metro 3km
Shobha Villas 607,3.9,4,Marathahalli,Mar 2027,Clear,Bus Stop 500m
DNR Park 608,4.4,3,Indiranagar,Sep 2026,Clear,ORR Access
Concorde Park 609,1.9,3,HSR Layout,Sep 2026,Clear,Highway Access
Salarpuria Greens 610,4.4,5,Koramangala,Ready,Clear,Metro 1km
Sobha Towers 611,5.7,4,Indiranagar,Dec 2026,Clear,Metro 1km
Shobha Enclave 612,5.5,5,Marathahalli,Sep 2026,Clear,Highway Access
Brigade City 613,2.7,3,HSR Layout,Jun 2027,Clear,Metro 2km
Concorde Courtyard 614,4.6,3,Marathahalli,Jun 2027,Clear,Metro 1km
Shobha Heights 615,2.6,2,Marathahalli,Jun 2027,Clear,Highway Access
Sobha Towers 616,2.5,3,Bellandur,Sep 2026,Clear,Metro 3km
Shobha Courtyard 617,6.0,5,Kadubeesanahalli,Jun 2027,Clear,Metro 1km
Shobha Heights 618,6.5,4,Koramangala,Dec 2026,Clear,Highway Access
Concorde Greens 619,1.9,2,Yelahanka,Sep 2026,Clear,Highway Access
Shobha Courtyard 620,5.6,5,Marathahalli,Dec 2026,Clear,Metro 1km
Adarsh Villas 621,6.6,5,Koramangala,Sep 2026,Clear,ORR Access
Godrej Courtyard 622,2.7,2,Kadubeesanahalli,Mar 2027,Clear,Metro 1km
Salarpuria Greens 623,3.0,4,Bellandur,Sep 2026,Clear,Bus Stop 500m
Adarsh Woods 624,3.4,2,Electronic City,Dec 2026,Clear,Metro 2km
Shobha Lake 625,3.1,4,Indiranagar,Sep 2026,Clear,Metro 1km
Shobha Towers 626,4.1,5,Koramangala,Mar 2027,Clear,Metro 3km
DNR Towers 627,2.5,4,Yelahanka,Mar 2027,Clear,Bus Stop 500m
Puravankara Heights 628,4.4,2,Koramangala,Sep 2026,Clear,Metro 1km
Concorde Greens 629,4.5,2,Bellandur,Ready,Clear,Metro 1km
Godrej Courtyard 630,3.3,4,HSR Layout,Sep 2026,Clear,Metro 3km
Concorde Greens 631,3.8,4,Whitefield,Dec 2026,Clear,Bus Stop 500m
DNR Enclave 632,1.6,3,Indiranagar,Sep 2026,Clear,Metro 2km
Prestige Woods 633,4.1,5,Sarjapur Road,Dec 2026,Clear,Highway Access
Puravankara Towers 634,1.1,2,Yelahanka,Dec 2026,Clear,Highway Access
Brigade Greens 635,4.1,2,Indiranagar,Ready,Clear,Highway Access
DNR Villas 636,3.2,4,Electronic City,Sep 2026,Clear,ORR Access
Prestige City 637,3.6,5,Koramangala,Jun 2027,Clear,Metro 3km
DNR Woods 638,6.1,5,HSR Layout,Jun 2027,Clear,Bus Stop 500m
Puravankara Villas 639,6.6,5,Koramangala,Dec 2026,Clear,ORR Access
Shobha Lake 640,3.2,5,Indiranagar,Mar 2027,Clear,Metro 3km
Prestige Villas 641,3.1,5,Sarjapur Road,Mar 2027,Clear,Metro 1km
Sobha Towers 642,4.6,4,Sarjapur Road,Jun 2027,Clear,ORR Access
Brigade Courtyard 643,3.1,2,Indiranagar,Jun 2027,Clear,ORR Access
Adarsh Woods 644,4.1,5,Yelahanka,Sep 2026,Clear,Metro 3km
Concorde Villas 645,2.5,2,Kadubeesanahalli,Jun 2027,Clear,Metro 3km
Prestige Woods 646,3.2,2,Marathahalli,Ready,Clear,Bus Stop 500m
Prestige Towers 647,6.8,4,Kadubeesanahalli,Sep 2026,Clear,Metro 3km
Salarpuria Woods 648,3.6,4,Yelahanka,Ready,Clear,Highway Access
Salarpuria Park 649,4.8,4,Kadubeesanahalli,Ready,Clear,Bus Stop 500m
Puravankara Enclave 650,2.3,3,Electronic City,Mar 2027,Clear,Highway Access
Salarpuria Enclave 651,1.7,3,Indiranagar,Sep 2026,Clear,Metro 2km
Adarsh Lake 652,2.9,3,Whitefield,Ready,Clear,Metro 2km
Godrej Greens 653,1.8,2,HSR Layout,Mar 2027,Clear,ORR Access
DNR Courtyard 654,4.9,4,Electronic City,Sep 2026,Clear,Highway Access
Salarpuria Heights 655,3.2,4,Marathahalli,Jun 2027,Clear,Metro 1km
Brigade Courtyard 656,3.0,5,Electronic City,Sep 2026,Clear,Metro 1km
Sobha Heights 657,3.5,3,Indiranagar,Jun 2027,Pending,Bus Stop 500m
Brigade Towers 658,4.5,2,Koramangala,Jun 2027,Clear,Metro 2km
Concorde Enclave 659,6.4,4,Bellandur,Dec 2026,Clear,ORR Access
Shobha Park 660,4.1,2,Whitefield,Dec 2026,Clear,ORR Access
Prestige City 661,3.5,4,HSR Layout,Ready,Clear,ORR Access
Sobha Enclave 662,4.5,4,Sarjapur Road,Mar 2027,Clear,ORR Access
Shobha Greens 663,4.5,3,Whitefield,Jun 2027,Clear,Highway Access
Concorde Greens 664,3.2,4,Bellandur,Jun 2027,Clear,Highway Access
Prestige Greens 665,2.5,2,Electronic City,Ready,Clear,Metro 1km
Concorde Courtyard 666,5.8,5,HSR Layout,Jun 2027,Clear,Highway Access
DNR Courtyard 667,6.7,4,Koramangala,Jun 2027,Clear,Metro 3km
Brigade Courtyard 668,3.7,4,Yelahanka,Sep 2026,Clear,Metro 2km
Sobha Towers 669,3.4,3,Kadubeesanahalli,Mar 2027,Clear,Highway Access
Brigade Park 670,4.7,4,Marathahalli,Jun 2027,Clear,Metro 1km
DNR Park 671,4.4,3,Whitefield,Jun 2027,Clear,Metro 1km
DNR Courtyard 672,5.7,4,Kadubeesanahalli,Jun 2027,Clear,Bus Stop 500m
Shobha Enclave 673,4.8,2,Koramangala,Ready,Clear,Highway Access
Sobha Towers 674,5.4,4,Marathahalli,Ready,Disputed,ORR Access
Adarsh Lake 675,4.3,3,Koramangala,Jun 2027,Clear,Bus Stop 500m
DNR City 676,2.4,3,Kadubeesanahalli,Mar 2027,Clear,ORR Access
Brigade Lake 677,4.7,4,Electronic City,Sep 2026,Clear,Highway Access
Godrej Heights 678,5.7,5,Marathahalli,Sep 2026,Clear,Highway Access
Sobha Lake 679,4.3,5,Kadubeesanahalli,Dec 2026,Clear,ORR Access
